pathway	NOP2	DNA_REPLICATION
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	0.279490796
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	0.10454745
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	0.139027958
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	0.269560181
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	0.00275819
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.249684793
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	-0.058044595
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	0.199933423
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	0.110640865
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	-0.068778634
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	-0.009628558
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	-0.031933539
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.246026911
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	0.11358021
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	0.246252116
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.221352775
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.20226358
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.067267927
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.209777014
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	-0.135727715
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	0.169446061
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	-0.233543287
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	-0.028857469
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.349832694
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.323160314
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.411893943
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	-0.142116525
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	-0.057904474
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	0.134290888
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.092080946
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.434584236
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	0.226856592
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	0.003275267
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	-0.119413746
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	-0.184041344
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.286544259
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	0.017464893
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	0.029904964
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.137588829
TCGA.BC.A112.01A.11R.A131.07	5.462496702	0.159022786
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.347892435
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	-0.037308084
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.208588972
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.317221922
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.151046575
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	0.132215178
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.101928493
TCGA.CC.A9FU.01A.11R.A37K.07	5.419144774	0.072866611
TCGA.DD.AADY.01A.11R.A41C.07	5.41106671	0.143317417
TCGA.DD.A1EB.01A.11R.A131.07	5.408486146	-0.130443772
